cntry,term,term_label,n,populist,non_populist,psu_count,kish_effective_n,estimate_log_odds,std_error,conf_low,conf_high,statistic,p_value,df,odds_ratio,odds_ratio_low,odds_ratio_high,ame,ame_std_error,ame_low,ame_high,evidence_category,fdr_q_value
IT,viepol,People's views should prevail,1021,545,476,298,890.9983147472658,-0.0032728437870381336,0.03657821371118095,-0.07525816575833266,0.06871247818425641,-0.08947522185966439,0.9287645514976532,297.0,0.9967325061281187,0.9275040056420533,1.0711281921469642,-0.0007529729818838768,0.008415861770972605,-0.01731525029900147,0.015809304335233716,negative_interval_includes_zero,0.9287645514976532
LV,distrust_index_three,Representative-political-institution distrust,566,29,537,566,476.30545831591814,0.2518194882714992,0.1418899883478457,-0.026876790154908792,0.5305157666979072,1.7747516312014875,0.07647726774455718,565.0,1.2863638125705408,0.9734811766005621,1.6998087873351717,0.012122007531791013,0.00698638305911185,-0.0016004473144415419,0.02584446237802357,positive_interval_includes_zero,0.09257774516446396
LV,viepol,People's views should prevail,566,29,537,566,476.30545831591814,0.2727259571222338,0.11957264595222933,0.037864767714075154,0.5075871465303925,2.280839024263049,0.02292939958579287,565.0,1.3135402291526683,1.0385907723770254,1.6612779349594493,0.01312839657106396,0.00609527335895014,0.001156234046343966,0.025100559095783955,positive_interval_above_zero,0.14052917833681794
NL,distrust_index_three,Representative-political-institution distrust,1116,146,970,1116,1020.2271799788526,0.32469030825897577,0.05877204726021853,0.20937403553066858,0.44000658098728296,5.524570325436856,4.109338049497509e-08,1115.0,1.3836020894839958,1.2329060629711661,1.5527174368914187,0.03346449641168241,0.005865105859166332,0.021956608251151748,0.044972384572213066,positive_interval_above_zero,1.1814346892305338e-07
NL,viepol,People's views should prevail,1116,146,970,1116,1020.2271799788526,0.2030047417156799,0.053780596458379314,0.09748216392922691,0.30852731950213286,3.774683716510746,0.00016865112397739223,1115.0,1.2250782772066031,1.102391779050185,1.3614187023206892,0.02092286488970397,0.005418691223202583,0.010290884142824842,0.0315548456365831,positive_interval_above_zero,0.0038789758514800213
NO,distrust_index_three,Representative-political-institution distrust,1032,89,943,1032,463.9518113454385,0.3069330405123859,0.08465423915674875,0.14081877114843733,0.4730473098763345,3.625725581728494,0.00030224081928126485,1031.0,1.3592499503445499,1.1512159955256227,1.60487730772721,0.027684544281802594,0.00705915902216699,0.013832585360762407,0.04153650320284278,positive_interval_above_zero,0.0004965384888192208
NO,viepol,People's views should prevail,1032,89,943,1032,463.9518113454385,0.03100775334751208,0.1097800674874588,-0.18441011447642175,0.2464256211714459,0.28245340030469906,0.7776525657769444,1031.0,1.0314935013830917,0.8315946848637624,1.279444016131318,0.00279681691874997,0.009887852640537282,-0.01660579579530331,0.022199429632803247,positive_interval_includes_zero,0.8888753317556883
PL,distrust_index_three,Representative-political-institution distrust,1348,564,784,1152,1319.7957244512481,-0.5234767624466091,0.03972589031367264,-0.6014200385568693,-0.4455334863363489,-13.17721914633696,4.917760880113639e-37,1151.0,0.5924571303402656,0.5480328554904248,0.6404824962125929,-0.09076248936279263,0.004858991085879958,-0.10029596188747729,-0.08122901683810797,negative_interval_below_zero,1.131085002426137e-35
PL,viepol,People's views should prevail,1348,564,784,1152,1319.7957244512481,0.062076693202711614,0.029486967396154955,0.004222462038464429,0.11993092436695879,2.105224737719427,0.03548799912457791,1151.0,1.0640439465369274,1.0042313891917303,1.1274189717104324,0.01076310470813517,0.005073820056484919,0.0008081319064238111,0.020718077509846528,positive_interval_above_zero,0.16324479597305838
SE,distrust_index_three,Representative-political-institution distrust,1737,221,1516,1737,1456.065553124765,0.47047554587474777,0.04604622495012263,0.380163637312393,0.5607874544371025,10.217461830679234,7.712820408872842e-24,1736.0,1.6007552447986928,1.4625238933333826,1.7520516180493055,0.041170764197107995,0.003844300842820354,0.03363081609975478,0.04871071229446121,positive_interval_above_zero,5.913162313469179e-23
SE,viepol,People's views should prevail,1737,221,1516,1737,1456.065553124765,0.058427163087849565,0.04183706135772125,-0.023629180596109342,0.1404835067718085,1.3965407987974405,0.16273022306963067,1736.0,1.0601677635360622,0.9766478025742007,1.1508300985048945,0.005112892636583981,0.003635902277140966,-0.0020183168024199387,0.0122441020755879,positive_interval_includes_zero,0.3957223668087302
SI,distrust_index_three,Representative-political-institution distrust,555,405,150,262,539.1594024262831,-0.056865874596381594,0.050653962940623895,-0.15660832577459383,0.04287657658183065,-1.1226342677874828,0.26262450098347195,261.0,0.9447207719241586,0.855038889935953,1.043809056418277,-0.010719604887642772,0.009462186187574178,-0.02935154578750018,0.007912336012214635,negative_interval_includes_zero,0.30201817613099274
SI,viepol,People's views should prevail,555,405,150,262,539.1594024262831,0.02811052092595371,0.04849470109078384,-0.06738013913591287,0.12360118098782027,0.5796617010450233,0.562642788284607,261.0,1.028509349945808,0.9348397646030172,1.1315644915630647,0.005299024760470524,0.00912125531388946,-0.012661590954751202,0.023259640475692248,positive_interval_includes_zero,0.8087990081591225
SK,distrust_index_three,Representative-political-institution distrust,751,531,220,247,507.27298926014214,0.008104224087414902,0.035807335224593326,-0.06242384327554398,0.07863229145037379,0.22632860101381486,0.8211337981779577,246.0,1.0081371522036153,0.9394846081595459,1.081806459441875,0.0016406657615603934,0.007243480386166187,-0.01262648563112195,0.015907817154242738,positive_interval_includes_zero,0.8211337981779578
SK,viepol,People's views should prevail,751,531,220,247,507.27298926014214,0.06390560967189685,0.048545024325626907,-0.031711300223781574,0.15952251956757527,1.3164193562502984,0.1892585232563492,246.0,1.0659917746992418,0.968786230077925,1.1729506762653272,0.012937419379005397,0.009737510198573269,-0.006242108249199291,0.03211694700721009,positive_interval_includes_zero,0.3957223668087302
