model,model_label,term,estimate_log_odds,std_error,conf_low,conf_high,statistic,p_value,df,odds_ratio,odds_ratio_low,odds_ratio_high,term_type
M2,H2a adjusted,"C(cntry, Treatment(reference='DE'))[T.NO]",0.9355993049395834,0.2006547109183287,0.5194669040179938,1.351731705861173,4.6627328142841105,0.0001195792024657461,22.0,2.5487404728745564,1.6811312064835766,3.86411124427145,country fixed effect
M2,H2a adjusted,"C(cntry, Treatment(reference='DE'))[T.PL]",2.361112225456649,0.1548299609143789,2.0400145394116853,2.6822099115016123,15.249711435129445,3.522106457919552e-13,22.0,10.602737531422859,7.690721016625131,14.617360702231604,country fixed effect
M2,H2a adjusted,"C(cntry, Treatment(reference='DE'))[T.SE]",0.8995643986483963,0.057015772055904496,0.7813209245359011,1.0178078727608915,15.777465887270019,1.7694907478566088e-13,22.0,2.4585319380364883,2.1843557297381513,2.767122226502008,country fixed effect
M2,H2a adjusted,"C(cntry, Treatment(reference='DE'))[T.SI]",3.8492372710126728,0.05613978607782336,3.7328104806279816,3.965664061397364,68.56522868962657,3.77384215732512e-27,22.0,46.957233925811295,41.79641125193112,52.75529051220843,country fixed effect
M2,H2a adjusted,"C(cntry, Treatment(reference='DE'))[T.SK]",3.539324742514063,0.07194799527051607,3.3901137328328534,3.688535752195272,49.19281946920987,5.360106714277746e-24,22.0,34.44365300187477,29.66932645503401,39.98625428560296,country fixed effect
M2,H2a adjusted,distrust_index_three,0.07632718584798028,0.10905989893845648,-0.1498492013488194,0.30250357304478,0.6998648136566898,0.4913466897167883,22.0,1.0793156532001318,0.860837779813805,1.3532425116086262,focal
M2,H2a adjusted,viepol,0.06313576066399369,0.013093278325113847,0.03598196337496856,0.09028955795301882,4.821997905818192,8.114437554772559e-05,22.0,1.0651714377973471,1.0366371488867552,1.0944911564453428,focal
M2,H2a adjusted,age_decades_50,-0.125133729161506,0.035368714480182153,-0.1984839535683429,-0.05178350475466911,-3.5379778711386614,0.0018476810178848849,22.0,0.8823788949044911,0.819972928274393,0.9495344142780348,control
S1,Expanded: + political interest,Intercept,-3.440789329209803,0.7425612475336122,-4.980767101738976,-1.9008115566806303,-4.633677478643342,0.0001283577936374845,22.0,0.03203938572130113,0.006868791474141651,0.14944728505193017,intercept
S1,Expanded: + political interest,"C(gndr, Treatment(reference=1))[T.2.0]",-0.1644486056204339,0.08129188230406116,-0.33303765097005017,0.004140439729182377,-2.0229400643638242,0.05539876034696509,22.0,0.8483613568295174,0.7167432075706247,1.0041490231921062,control
S1,Expanded: + political interest,"C(eisced_model, Treatment(reference=4))[T.1.0]",0.12492863703750057,0.2999951769321121,-0.49722328090310963,0.7470805549781108,0.4164354851137207,0.6811261806001334,22.0,1.1330675911215722,0.6082171653709377,2.1108285644438465,control
S1,Expanded: + political interest,"C(eisced_model, Treatment(reference=4))[T.2.0]",0.5721791819197876,0.19252657897702485,0.17290349492363838,0.9714548689159368,2.9719490418414827,0.007036969559218709,22.0,1.7721246286762835,1.1887513790056907,2.6417851158985046,control
S1,Expanded: + political interest,"C(eisced_model, Treatment(reference=4))[T.3.0]",0.5627640848595274,0.12494783097281281,0.3036381433119865,0.8218900264070683,4.503992430104516,0.0001761458237673148,22.0,1.755518201527702,1.3547787316366096,2.2747952000782483,control
S1,Expanded: + political interest,"C(eisced_model, Treatment(reference=4))[T.5.0]",0.17392393928575278,0.09681552182853895,-0.026859163989528423,0.374707042561034,1.7964468506793099,0.08616932175927929,22.0,1.189965052786319,0.9734983354919978,1.4545652264901967,control
S1,Expanded: + political interest,"C(eisced_model, Treatment(reference=4))[T.6.0]",-0.21681667893087908,0.12004920107233769,-0.46578348385819524,0.0321501259964371,-1.8060651549045503,0.08460960109632754,22.0,0.805077543453854,0.6276431642130309,1.0326725246603676,control
S1,Expanded: + political interest,"C(eisced_model, Treatment(reference=4))[T.7.0]",-0.563662825489953,0.1018319391026108,-0.7748493414473003,-0.35247630953260556,-5.535226280253575,1.4567903786726115e-05,22.0,0.5691206518089785,0.46077319519262405,0.7029452227143387,control
S1,Expanded: + political interest,"C(polintr, Treatment(reference=4))[T.1.0]",-0.212152607017128,0.18184171669810362,-0.5892692458987587,0.16496403186450279,-1.1666883203118181,0.25582768568055697,22.0,0.8088412532965129,0.5547325097131317,1.1793506989027776,control
S1,Expanded: + political interest,"C(polintr, Treatment(reference=4))[T.2.0]",-0.3909508502923754,0.18743922481025366,-0.7796760104951685,-0.002225690089582344,-2.0857472638832046,0.04881115180315467,22.0,0.6764134007431786,0.45855455410369256,0.9977767849220616,control
S1,Expanded: + political interest,"C(polintr, Treatment(reference=4))[T.3.0]",-0.18256927754244057,0.11775685955679777,-0.4267820571382402,0.061643502053359056,-1.5503918687164189,0.1353146672724897,22.0,0.8331269249431377,0.6526057674985056,1.0635831119387067,control
S1,Expanded: + political interest,"C(cntry, Treatment(reference='DE'))[T.AT]",0.40218647741112257,0.05720725359006831,0.28354589490192406,0.5208270599203211,7.030340597943784,4.70172776613602e-07,22.0,1.495090107215246,1.3278298195347913,1.6834193627885519,country fixed effect
S1,Expanded: + political interest,"C(cntry, Treatment(reference='DE'))[T.BE]",0.5644830613213153,0.041818209030384475,0.47775740386522003,0.6512087187774106,13.498499204286116,4.019776101724843e-12,22.0,1.7585384911540398,1.6124542607598238,1.9178575790503931,country fixed effect
S1,Expanded: + political interest,"C(cntry, Treatment(reference='DE'))[T.BG]",3.306077284990415,0.1445672415310103,3.0062631762780763,3.6058913937027537,22.868785832655227,7.95126205608816e-17,22.0,27.277911850896214,20.21173095679479,36.81448543599961,country fixed effect
S1,Expanded: + political interest,"C(cntry, Treatment(reference='DE'))[T.CH]",1.9193105008107594,0.23519514872102693,1.4315456161765399,2.407075385444979,8.160502081985202,4.238302171162269e-08,22.0,6.816257044956721,4.185162850872324,11.101446170305675,country fixed effect
S1,Expanded: + political interest,"C(cntry, Treatment(reference='DE'))[T.CZ]",2.2991322732871415,0.12314759653678954,2.0437397894523825,2.5545247571219005,18.6697291538312,5.5869091598332396e-15,22.0,9.965531344202462,7.719424305675536,12.865184117326587,country fixed effect
S1,Expanded: + political interest,"C(cntry, Treatment(reference='DE'))[T.EE]",1.1124715593910852,0.08385723067307269,0.9385623071491844,1.286380811632986,13.266256832737382,5.6574935118866e-12,22.0,3.041867266911108,2.5563035957690126,3.6196625803054077,country fixed effect
S1,Expanded: + political interest,"C(cntry, Treatment(reference='DE'))[T.ES]",1.2000529320578284,0.14493544525091612,0.899475215567275,1.5006306485483818,8.279913377850841,3.319705680894281e-08,22.0,3.320292668008737,2.4583126883600452,4.484516332455243,country fixed effect
S1,Expanded: + political interest,"C(cntry, Treatment(reference='DE'))[T.FI]",1.3825046940004366,0.2095845482737891,0.9478529438865944,1.817156444114279,6.596405629075349,1.238747545956664e-06,22.0,3.9848700184265557,2.580163951187996,6.154333354065944,country fixed effect
S1,Expanded: + political interest,"C(cntry, Treatment(reference='DE'))[T.FR]",1.5080990752465582,0.05316519134465202,1.39784121676692,1.6183569337261963,28.366286984091904,8.077779361006677e-19,22.0,4.518133993219895,4.046455111668998,5.044794571382111,country fixed effect
S1,Expanded: + political interest,"C(cntry, Treatment(reference='DE'))[T.GR]",1.999433651704636,0.08040981942926342,1.8326738927952608,2.1661934106140115,24.86554087419061,1.3465208265430983e-17,22.0,7.384872504402312,6.250577708241542,8.725008223539042,country fixed effect
S1,Expanded: + political interest,"C(cntry, Treatment(reference='DE'))[T.HR]",0.7395250806066677,0.11125242167476199,0.5088016795562768,0.9702484816570586,6.64727175799025,1.1043920318278178e-06,22.0,2.0949403504014255,1.6632968376404493,2.638600021608866,country fixed effect
S1,Expanded: + political interest,"C(cntry, Treatment(reference='DE'))[T.HU]",3.5535725059431678,0.1718441760781481,3.197189497298539,3.9099555145877964,20.679039505692298,6.623411622331905e-16,22.0,34.93791069369936,24.463678254323657,49.89673224733388,country fixed effect
S1,Expanded: + political interest,"C(cntry, Treatment(reference='DE'))[T.IE]",2.044119861753919,0.08193737716135396,1.8741921420042928,2.2140475815035456,24.94734311214974,1.2556327423604895e-17,22.0,7.722358802663118,6.515553351748205,9.152687769960135,country fixed effect
S1,Expanded: + political interest,"C(cntry, Treatment(reference='DE'))[T.IS]",0.6318069387763026,0.11915886881917603,0.38468656993030464,0.8789273076223005,5.302223368157947,2.5422722883349573e-05,22.0,1.8810063736991853,1.4691537723006947,2.408314939256605,country fixed effect
S1,Expanded: + political interest,"C(cntry, Treatment(reference='DE'))[T.IT]",2.8417267120908516,0.059910154158761685,2.7174806568870173,2.965972767294686,47.433139707173616,1.186025053964798e-23,22.0,17.145345066759397,15.142125939655507,19.41357895382414,country fixed effect
S1,Expanded: + political interest,"C(cntry, Treatment(reference='DE'))[T.LV]",-0.04069147032040517,0.13470779965525562,-0.3200583480620509,0.2386754074212406,-0.30207211775816123,0.7654343042071925,22.0,0.9601253114097638,0.7261066689206793,1.2695663778711261,country fixed effect
S1,Expanded: + political interest,"C(cntry, Treatment(reference='DE'))[T.NL]",1.0455496192976357,0.15131534281668724,0.7317408050694432,1.3593584335258282,6.909739619493042,6.139417785551718e-07,22.0,2.8449617398987934,2.078696064505231,3.893694436475709,country fixed effect
S1,Expanded: + political interest,"C(cntry, Treatment(reference='DE'))[T.NO]",0.8805888388836091,0.22311652107457006,0.4178734948226173,1.3433041829446009,3.946766625091373,0.0006866669401243878,22.0,2.412319755957992,1.518728535226451,3.831683194203984,country fixed effect
S1,Expanded: + political interest,"C(cntry, Treatment(reference='DE'))[T.PL]",2.343278818126886,0.14684256371808477,2.038745980009969,2.6478116562438028,15.957762918288614,1.4049039885317302e-13,22.0,10.41533061290366,7.6809710656769905,14.123098609345812,country fixed effect
